id,x,y,z,yaw,pitch,roll
1,1775.21,865.308,-3.68262,-2.42183,-0.0323925,0.0143941
2,1775.15,865.471,-3.5107,-2.41572,-0.0216381,0.00993052
3,1775.05,865.62,-3.57916,-2.40748,-0.0268938,0.0123436
4,1775.1,865.283,-3.6879,-2.41589,-0.0296423,0.0148315
5,1775.12,865.214,-3.60696,-2.42126,-0.0285877,0.0140885
6,1775.06,864.94,-3.58075,-2.4298,-0.0275411,0.0151722
7,1775.05,864.963,-3.56988,-2.4279,-0.0280225,0.0147202
8,1775,865.064,-3.54789,-2.42171,-0.0267417,0.0154201
9,1775.03,865.011,-3.48235,-2.42452,-0.0232611,0.0156638
10,1774.99,864.502,-3.32202,-2.44389,-0.0189822,0.020829
11,1774.67,863.301,-3.84212,-2.48322,-0.0560827,0.0318818
12,1774.69,863.305,-3.80333,-2.48419,-0.0530834,0.0320857
13,1774.67,863.03,-3.73052,-2.49248,-0.0499005,0.0329268
14,1774.67,863.03,-3.73052,-2.49248,-0.0499005,0.0329268
15,1774.67,863.03,-3.73052,-2.49248,-0.0499005,0.0329268
16,1774.67,863.03,-3.73052,-2.49248,-0.0499005,0.0329268
